avg_speed,date,distance,hour,id,location,risk_level,time,vehicle_density,weather_code
23,,37.99,,128,A12,HIGH,2026-02-02T10:15:00+00:00,75,1
40,,136.92,,129,A12,MEDIUM,2026-02-02T10:15:00+00:00,48,1
40,,136.92,,130,A12,MEDIUM,2026-02-02T10:15:00+00:00,48,1
70,,300.0,,131,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,132,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,27,A12,LOW,2026-02-02T10:15:00+00:00,5,1
17,,1.92,,56,A12,HIGH,2026-02-02T10:15:00+00:00,85,1
17,,1.92,,55,A12,HIGH,2026-02-02T10:15:00+00:00,85,1
70,,300.0,,54,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,53,A12,LOW,2026-02-02T10:15:00+00:00,5,1
48,,178.96,,52,A12,LOW,2026-02-02T10:15:00+00:00,37,1
48,,178.96,,51,A12,LOW,2026-02-02T10:15:00+00:00,37,1
48,,178.96,,50,A12,LOW,2026-02-02T10:15:00+00:00,37,1
48,,178.96,,49,A12,LOW,2026-02-02T10:15:00+00:00,37,1
68,,294.95,,48,A12,LOW,2026-02-02T10:15:00+00:00,6,1
68,,294.95,,47,A12,LOW,2026-02-02T10:15:00+00:00,6,1
17,,1.92,,46,A12,HIGH,2026-02-02T10:15:00+00:00,85,1
17,,1.92,,45,A12,HIGH,2026-02-02T10:15:00+00:00,85,1
63,,263.92,,44,A12,LOW,2026-02-02T10:15:00+00:00,14,1
63,,263.92,,43,A12,LOW,2026-02-02T10:15:00+00:00,14,1
43,,150.91,,42,A12,LOW,2026-02-02T10:15:00+00:00,45,1
43,,150.91,,41,A12,LOW,2026-02-02T10:15:00+00:00,45,1
43,,150.91,,40,A12,LOW,2026-02-02T10:15:00+00:00,45,1
17,,1.92,,39,A12,HIGH,2026-02-02T10:15:00+00:00,85,1
17,,1.92,,38,A12,HIGH,2026-02-02T10:15:00+00:00,85,1
49,,187.88,,37,A12,LOW,2026-02-02T10:15:00+00:00,35,1
47,,173.93,,36,A12,LOW,2026-02-02T10:15:00+00:00,39,1
47,,173.93,,35,A12,LOW,2026-02-02T10:15:00+00:00,39,1
44,,156.96,,34,A12,LOW,2026-02-02T10:15:00+00:00,43,1
70,,300.0,,33,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,32,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,31,A12,LOW,2026-02-02T10:15:00+00:00,5,1
67,,288.92,,30,A12,LOW,2026-02-02T10:15:00+00:00,8,1
33,,97.94,,29,A12,MEDIUM,2026-02-02T10:15:00+00:00,59,1
51,,198.88,,28,A12,LOW,2026-02-02T10:15:00+00:00,32,1
63,,263.92,,58,A12,LOW,2026-02-02T10:15:00+00:00,14,1
48,,178.96,,57,A12,LOW,2026-02-02T10:15:00+00:00,37,1
63,,263.92,,59,A12,LOW,2026-02-02T10:15:00+00:00,14,1
62,,257.98,,60,A12,LOW,2026-02-02T10:15:00+00:00,16,1
29,,71.93,,61,A12,HIGH,2026-02-02T10:15:00+00:00,66,1
52,,201.91,,62,A12,LOW,2026-02-02T10:15:00+00:00,31,1
52,,201.91,,63,A12,LOW,2026-02-02T10:15:00+00:00,31,1
46,,167.89,,64,A12,LOW,2026-02-02T10:15:00+00:00,40,1
46,,167.89,,65,A12,LOW,2026-02-02T10:15:00+00:00,40,1
54,,212.96,,66,A12,LOW,2026-02-02T10:15:00+00:00,28,1
54,,212.96,,67,A12,LOW,2026-02-02T10:15:00+00:00,28,1
28,,68.93,,68,A12,HIGH,2026-02-02T10:15:00+00:00,67,1
28,,68.93,,69,A12,HIGH,2026-02-02T10:15:00+00:00,67,1
35,,105.94,,70,A12,MEDIUM,2026-02-02T10:15:00+00:00,57,1
35,,105.94,,71,A12,MEDIUM,2026-02-02T10:15:00+00:00,57,1
70,,300.0,,72,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,73,A12,LOW,2026-02-02T10:15:00+00:00,5,1
20,,21.96,,74,A12,HIGH,2026-02-02T10:15:00+00:00,79,1
20,,21.96,,75,A12,HIGH,2026-02-02T10:15:00+00:00,79,1
37,,116.99,,76,A12,MEDIUM,2026-02-02T10:15:00+00:00,54,1
37,,116.99,,77,A12,MEDIUM,2026-02-02T10:15:00+00:00,54,1
37,,116.99,,78,A12,MEDIUM,2026-02-02T10:15:00+00:00,54,1
37,,116.99,,79,A12,MEDIUM,2026-02-02T10:15:00+00:00,54,1
70,,300.0,,80,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,81,A12,LOW,2026-02-02T10:15:00+00:00,5,1
55,,218.96,,82,A12,LOW,2026-02-02T10:15:00+00:00,26,1
55,,218.96,,83,A12,LOW,2026-02-02T10:15:00+00:00,26,1
38,,122.91,,84,A12,MEDIUM,2026-02-02T10:15:00+00:00,52,1
38,,122.91,,85,A12,MEDIUM,2026-02-02T10:15:00+00:00,52,1
55,,221.92,,86,A12,LOW,2026-02-02T10:15:00+00:00,26,1
55,,221.92,,87,A12,LOW,2026-02-02T10:15:00+00:00,26,1
70,,300.0,,88,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,89,A12,LOW,2026-02-02T10:15:00+00:00,5,1
20,,23.92,,90,A12,HIGH,2026-02-02T10:15:00+00:00,79,1
20,,23.92,,91,A12,HIGH,2026-02-02T10:15:00+00:00,79,1
20,,23.92,,92,A12,HIGH,2026-02-02T10:15:00+00:00,79,1
20,,23.92,,93,A12,HIGH,2026-02-02T10:15:00+00:00,79,1
20,,23.92,,94,A12,HIGH,2026-02-02T10:15:00+00:00,79,1
20,,23.92,,95,A12,HIGH,2026-02-02T10:15:00+00:00,79,1
20,,23.92,,96,A12,HIGH,2026-02-02T10:15:00+00:00,79,1
20,,23.92,,97,A12,HIGH,2026-02-02T10:15:00+00:00,79,1
48,,181.92,,98,A12,LOW,2026-02-02T10:15:00+00:00,36,1
48,,181.92,,99,A12,LOW,2026-02-02T10:15:00+00:00,36,1
70,,300.0,,100,A12,LOW,2026-02-02T10:15:00+00:00,5,1
70,,300.0,,101,A12,LOW,2026-02-02T10:15:00+00:00,5,1
